goiania_confirmed,goiania_dead,goias_confirmed,goias_dead,brazil_confirmed,brazil_dead,date_event
61,1,73,2,7210,299,03/04/2020
69,2,88,3,9056,359,04/04/2020
73,2,103,3,10278,432,05/04/2020
73,4,115,5,11130,486,06/04/2020
76,4,119,5,12056,553,07/04/2020
86,5,133,6,13717,667,08/04/2020
101,5,158,7,15927,800,09/04/2020
107,5,179,7,17857,941,10/04/2020
115,6,191,9,19638,1051,11/04/2020
128,8,209,12,20727,1124,12/04/2020
160,8,229,14,22169,1223,13/04/2020
159,7,233,15,23430,1328,14/04/2020
177,7,284,15,25262,1532,15/04/2020
184,8,304,16,28320,1736,16/04/2020
195,9,318,17,30425,1924,17/04/2020
227,9,335,17,33682,2141,18/04/2020
231,10,378,18,36599,2347,19/04/2020
236,10,393,18,38654,2462,20/04/2020
241,10,403,19,40581,2575,21/04/2020
256,10,421,19,43079,2741,22/04/2020
256,11,438,21,45757,2906,23/04/2020
273,11,453,23,49492,3313,24/04/2020
294,11,486,24,52995,3670,25/04/2020
346,11,506,25,58509,4016,26/04/2020
362,11,573,25,61888,4205,27/04/2020
394,11,616,26,66501,4543,28/04/2020
407,12,661,27,71886,5017,29/04/2020
448,12,705,27,78162,5466,30/04/2020
451,13,781,29,85380,5901,01/05/2020
464,13,808,29,91589,6329,02/05/2020
481,13,825,30,96559,6750,03/05/2020
503,13,850,30,101147,7025,04/05/2020
547,14,861,30,107780,7321,05/05/2020
560,20,922,38,114715,7921,06/05/2020
601,20,1024,45,125218,8536,07/05/2020
659,21,1027,44,135106,9146,08/05/2020
667,22,1053,49,145328,9897,09/05/2020
693,22,1069,47,155939,10627,10/05/2020
736,22,1093,47,162699,11123,11/05/2020
757,25,1100,49,168331,11519,12/05/2020
802,30,1115,52,177589,12400,13/05/2020
822,30,1134,61,188974,13149,14/05/2020
904,29,1423,64,202918,13993,15/05/2020
911,29,1572,67,218223,14817,16/05/2020
983,29,1640,69,233142,15633,17/05/2020
1021,30,1692,70,241080,16118,18/05/2020
1066,33,1749,73,254220,16792,19/05/2020
1133,35,1843,73,271628,17971,20/05/2020
1150,37,1978,78,291579,18859,21/05/2020
1326,39,2114,85,310087,20047,22/05/2020
1376,39,2304,93,330890,21048,23/05/2020
1416,39,2377,95,347398,22013,24/05/2020
1435,42,2443,95,363211,22666,25/05/2020
1532,47,2512,96,374898,23473,26/05/2020



















